"Date","Open","High","Low","Close*","Adj Close**","Volume"
"Sep 22, 2022","0.1930","0.1948","0.1913","0.1931","0.1931","4,632"
"Sep 21, 2022","0.1930","0.1948","0.1921","0.1943","0.1943","6,712"
"Sep 20, 2022","0.1935","0.1940","0.1910","0.1938","0.1938","6,712"
"Sep 19, 2022","0.1895","0.1938","0.1881","0.1928","0.1928","8,823"
"Sep 16, 2022","0.1893","0.1905","0.1877","0.1895","0.1895","7,654"
"Sep 15, 2022","0.1923","0.1928","0.1898","0.1901","0.1901","4,742"
"Sep 14, 2022","0.1918","0.1933","0.1911","0.1922","0.1922","4,377"
"Sep 13, 2022","0.1959","0.1962","0.1910","0.1919","0.1919","9,293"
"Sep 12, 2022","0.1933","0.1957","0.1928","0.1956","0.1956","4,609"
"Sep 09, 2022","0.1906","0.1934","0.1906","0.1929","0.1929","4,890"
"Sep 08, 2022","0.1898","0.1920","0.1890","0.1909","0.1909","8,282"
"Sep 07, 2022","0.1889","0.1912","0.1834","0.1902","0.1902","5,066"
"Sep 06, 2022","0.1921","0.1938","0.1893","0.1896","0.1896","8,083"
"Sep 05, 2022","-","-","-","-","-","-"
"Sep 02, 2022","0.1895","0.1925","0.1888","0.1921","0.1921","9,199"
"Sep 01, 2022","0.1905","0.1928","0.1889","0.1896","0.1896","10,407"
"Aug 31, 2022","0.1946","0.1972","0.1927","0.1931","0.1931","23,589"
"Aug 30, 2022","0.1978","0.1995","0.1951","0.1957","0.1957","11,688"
"Aug 29, 2022","0.1982","0.1993","0.1955","0.1991","0.1991","18,673"
"Aug 26, 2022","0.1951","0.1975","0.1949","0.1972","0.1972","23,688"
"Aug 25, 2022","0.1952","0.1971","0.1942","0.1949","0.1949","9,883"
"Aug 24, 2022","0.1958","0.1963","0.1948","0.1953","0.1953","5,628"
"Aug 23, 2022","0.1935","0.1967","0.1929","0.1954","0.1954","6,137"
"Aug 22, 2022","0.1927","0.1937","0.1917","0.1936","0.1936","5,316"
"Aug 19, 2022","0.1923","0.1931","0.1910","0.1920","0.1920","6,069"
"Aug 18, 2022","0.1918","0.1955","0.1914","0.1921","0.1921","5,303"
"Aug 17, 2022","0.1939","0.1944","0.1911","0.1926","0.1926","7,336"
"Aug 16, 2022","0.1961","0.1962","0.1932","0.1935","0.1935","5,100"
"Aug 15, 2022","0.1963","0.1963","0.1937","0.1952","0.1952","5,755"
"Aug 12, 2022","0.1921","0.1964","0.1921","0.1963","0.1963","7,037"
"Aug 11, 2022","0.1957","0.1965","0.1924","0.1927","0.1927","12,823"
"Aug 10, 2022","0.1935","0.1974","0.1932","0.1954","0.1954","12,532"
"Aug 09, 2022","0.1948","0.1957","0.1929","0.1931","0.1931","12,779"
"Aug 08, 2022","0.1927","0.1945","0.1924","0.1942","0.1942","6,477"
"Aug 05, 2022","0.1906","0.1925","0.1882","0.1919","0.1919","8,347"
"Aug 04, 2022","0.1880","0.1908","0.1875","0.1904","0.1904","4,978"
"Aug 03, 2022","0.1880","0.1891","0.1866","0.1876","0.1876","4,806"
"Aug 02, 2022","0.1907","0.1919","0.1876","0.1880","0.1880","9,505"
"Aug 01, 2022","0.1913","0.1933","0.1906","0.1912","0.1912","8,969"
"Jul 29, 2022","0.1920","0.1960","0.1917","0.1927","0.1927","12,004"
"Jul 28, 2022","0.1901","0.1964","0.1895","0.1934","0.1934","8,301"
"Jul 27, 2022","0.1861","0.1908","0.1861","0.1901","0.1901","21,146"
"Jul 26, 2022","0.1858","0.1872","0.1851","0.1865","0.1865","13,945"
"Jul 25, 2022","0.1814","0.1863","0.1814","0.1859","0.1859","10,458"
"Jul 22, 2022","0.1810","0.1836","0.1810","0.1814","0.1814","6,907"
"Jul 21, 2022","0.1822","0.1837","0.1810","0.1814","0.1814","8,375"
"Jul 20, 2022","0.1841","0.1849","0.1822","0.1826","0.1826","4,711"
"Jul 19, 2022","0.1837","0.1857","0.1834","0.1845","0.1845","4,752"
"Jul 18, 2022","0.1841","0.1860","0.1832","0.1838","0.1838","3,635"
"Jul 15, 2022","0.1831","0.1852","0.1826","0.1845","0.1845","6,153"
"Jul 14, 2022","0.1840","0.1841","0.1812","0.1831","0.1831","6,124"
"Jul 13, 2022","0.1824","0.1855","0.1821","0.1849","0.1849","7,374"
"Jul 12, 2022","0.1837","0.1851","0.1828","0.1830","0.1830","6,268"
"Jul 11, 2022","0.1883","0.1890","0.1846","0.1850","0.1850","5,869"
"Jul 08, 2022","0.1853","0.1892","0.1850","0.1884","0.1884","8,866"
"Jul 07, 2022","0.1831","0.1864","0.1822","0.1857","0.1857","10,650"
"Jul 06, 2022","0.1838","0.1842","0.1800","0.1831","0.1831","17,398"
"Jul 05, 2022","0.1869","0.1876","0.1836","0.1838","0.1838","12,570"
"Jul 04, 2022","-","-","-","-","-","-"
"Jul 01, 2022","0.1897","0.1897","0.1858","0.1869","0.1869","7,443"
"Jun 30, 2022","0.1921","0.1928","0.1899","0.1909","0.1909","8,110"
"Jun 29, 2022","0.1895","0.1929","0.1890","0.1921","0.1921","6,171"
"Jun 28, 2022","0.1900","0.1924","0.1892","0.1894","0.1894","24,312"
"Jun 27, 2022","0.1898","0.1919","0.1893","0.1910","0.1910","26,659"
"Jun 24, 2022","0.1907","0.1917","0.1892","0.1896","0.1896","20,141"
"Jun 23, 2022","0.1919","0.1930","0.1901","0.1908","0.1908","14,733"
"Jun 22, 2022","0.1940","0.1945","0.1919","0.1931","0.1931","9,155"
"Jun 21, 2022","0.1939","0.1949","0.1919","0.1936","0.1936","11,374"
"Jun 20, 2022","0.1939","0.1949","0.1919","0.1922","0.1922","24,214"
"Jun 17, 2022","0.1939","0.1952","0.1933","0.1939","0.1939","24,214"
"Jun 16, 2022","0.1973","0.1978","0.1936","0.1937","0.1937","4,833"
"Jun 15, 2022","0.1945","0.1984","0.1935","0.1964","0.1964","15,577"
"Jun 14, 2022","0.1938","0.1956","0.1931","0.1935","0.1935","10,209"
"Jun 13, 2022","0.1990","0.1990","0.1937","0.1945","0.1945","12,849"
"Jun 10, 2022","0.2025","0.2037","0.1984","0.1996","0.1996","10,565"
"Jun 09, 2022","0.2030","0.2042","0.2020","0.2027","0.2027","6,327"
"Jun 08, 2022","0.2041","0.2050","0.2025","0.2034","0.2034","10,628"
"Jun 07, 2022","0.2070","0.2079","0.2013","0.2041","0.2041","12,460"
"Jun 06, 2022","0.2077","0.2090","0.2065","0.2068","0.2068","4,070"
"Jun 03, 2022","0.2071","0.2078","0.2054","0.2075","0.2075","7,736"
"Jun 02, 2022","0.2066","0.2078","0.2060","0.2071","0.2071","9,117"
"Jun 01, 2022","0.2115","0.2115","0.2115","0.2115","0.2115","9,959"
"May 31, 2022","0.2111","0.2156","0.2095","0.2115","0.2115","4,369"
"May 30, 2022","-","-","-","-","-","-"
"May 27, 2022","0.2102","0.2120","0.2083","0.2110","0.2110","9,994"
"May 26, 2022","0.2072","0.2103","0.2063","0.2102","0.2102","17,835"
"May 25, 2022","0.2077","0.2077","0.2053","0.2075","0.2075","17,729"
"May 24, 2022","0.2075","0.2089","0.2056","0.2070","0.2070","32,489"
"May 23, 2022","0.2048","0.2085","0.2048","0.2076","0.2076","18,245"
"May 20, 2022","0.2027","0.2054","0.2026","0.2049","0.2049","13,091"
"May 19, 2022","0.1996","0.2042","0.1996","0.2037","0.2037","12,439"
"May 18, 2022","0.2013","0.2024","0.1993","0.1996","0.1996","10,575"
"May 17, 2022","0.1966","0.2021","0.1966","0.2016","0.2016","11,309"
"May 16, 2022","0.1971","0.1978","0.1950","0.1974","0.1974","11,007"
"May 13, 2022","0.1930","0.1971","0.1930","0.1971","0.1971","10,057"
"May 12, 2022","0.1937","0.1947","0.1909","0.1930","0.1930","12,747"
"May 11, 2022","0.1938","0.1953","0.1922","0.1939","0.1939","17,894"
"May 10, 2022","0.1932","0.1944","0.1903","0.1939","0.1939","13,574"
"May 09, 2022","0.1943","0.1951","0.1925","0.1928","0.1928","9,912"
"May 06, 2022","0.1970","0.1993","0.1941","0.1954","0.1954","13,584"
"*Close price adjusted for splits.**Adjusted close price adjusted for splits and dividend and/or capital gain distributions.",,,,,,
